Bat_Name,Outcome
Cedar,1
Cedar,0
Cooper,1
Coot,1
Coot,1
Flacon,1
Flacon,1
Flamingo,1
Hoopoe,1
Hoopoe,1
Jacana,1
Jacana,1
Jay,0
Jay,0
Killdeer,1
Killdeer,0
Pecker,0
Penguin,0
Penguin,1
Phesant,0
Puffin,1
Puffin,0
Sapphire,0
Screamer,0
Screamer,0
Scrub,1
Scrub,1
Skimmer,1
Stork,1
Stork,1
Tuki,1
Tuki,1
Warbler,1
Warbler,1
