Bat_Name,Sex,Outcome
Eagle,M,1
Heron,M,0
Kingfisher,M,0
Surf,M,0
Lapwing,M,NA
Tern,M,NA
Inca,F,1
Hermit,M,0
Jet,M,0
Salty,M,0
Cape,M,0
Palm,F,NA
Crimson,F,0
Pine,F,0
Blue,F,0
Tit,F,NA
Rail,F,NA
Nutcracker,M,0
Swallow,F,1
